anio,mes,banco,activos,pasivos,patrimonio,carterabruta,depositos,utilidad,calificacion
2020,4,MACHALA,796,733.45,62,515.65,709.37,1,AA
2020,4,CITIBANK,655.06,581.87,69,282.4,549.76,4,AAA
2020,4,LOJA,496.35,435.12,60,326.7,411.23,1,AAA
2020,4,PROCREDIT,408.9,351.36,57,339.84,160.34,0,AAA
2020,4,AMAZONAS,222.65,199.82,23,119.3,185.68,0,AA
2020,4,CODESARROLLO,184.36,161.29,23,147.93,123.75,0,C
2020,4,COOPNACIONAL,184.36,154.32,30,102.98,150.6,0,AA
2020,4,D-MIRO,106.54,83.83,22,91.52,28.12,0,A
2020,4,FINCA,83.83,69.28,15,68.15,50.93,0,BBB
2020,4,VISIONFUND,81.54,65.01,16,75.23,8.41,0,AA
2020,4,COMERCIAL DE MANABI,52.91,40.31,13,31.56,39.4,0,BB
2020,4,LITORAL,38.8,27.41,12,31.14,26.07,0,A
2020,4,DELBANK,30.83,19.9,11,21.5,17.48,0,A
2020,4,CAPITAL,23.35,14.77,9,14.1,12.82,-1,C
2020,5,PICHINCHA,11411.71,10145.93,1237,7240.61,9048.41,29,AAA
2020,5,PACIFICO,6128.31,5342.47,770,4203.54,4299.83,16,AAA
2020,5,GUAYAQUIL,5107.22,4598.91,502,3303.41,3803.13,6,AAA
2020,5,PRODUBANCO,4953.37,4520.66,418,3264.97,3881.46,15,AAA
2020,5,BOLIVARIANO,3593.12,3252.81,328,2182.59,2869.15,12,AAA
2020,5,INTERNACIONAL,3563.34,3191.21,358,2387.43,2866.84,14,AAA
2020,5,DINERS CLUB,2305.63,1850.76,441,1939.29,1304.69,14,AAA
2020,5,AUSTRO,1757.44,1562.2,191,1055.15,1496.68,4,AAA
2020,5,GENERAL RUMIÑAHUI,914.44,834.89,76,635.34,723.98,3,AAA
2020,5,SOLIDARIO,795.59,641.98,150,640.68,404.54,4,AA
2020,5,MACHALA,784.48,721.84,62,514.15,696.58,1,AA
2020,5,CITIBANK,639.19,562.88,72,267.8,533.3,4,AAA
2020,5,LOJA,505.94,444.37,60,323.07,418.99,2,AAA
2020,5,PROCREDIT,417.9,360.3,57,345.32,162.41,0,AAA
2020,5,AMAZONAS,222.6,199.69,23,118.66,186,0,AA
2020,5,COOPNACIONAL,184.19,154.04,30,100.6,150.36,1,AA
2020,5,CODESARROLLO,180.81,157.98,22,147.52,125.61,1,C
2020,5,D-MIRO,105.27,82.53,22,86.58,27.4,0,A
2020,5,FINCA,83.59,69,15,67,50.84,0,BBB
2020,5,VISIONFUND,81.39,64.74,16,73.51,8,1,AA
2020,5,COMERCIAL DE MANABI,52.16,39.54,13,31.38,38.71,0,BB
2020,5,LITORAL,39.3,27.9,12,31.12,26.54,0,A
2020,5,DELBANK,31.04,20.07,11,21.14,17.09,0,A
2020,5,CAPITAL,24.29,16.02,9,13.06,14.15,-1,C
2020,6,PICHINCHA,11569.6,10298.05,1239,7203.59,9225.49,32,AAA
2020,6,PACIFICO,6199.33,5412.33,770,4215.94,4367.74,17,AAA
2020,6,GUAYAQUIL,5129.5,4618.65,502,3346.08,3844.1,9,AAA
2020,6,PRODUBANCO,4998.22,4562.13,421,3215.2,3938.87,15,AAA
2020,6,INTERNACIONAL,3620.92,3246.24,358,2399.72,2947.05,17,AAA
2020,6,BOLIVARIANO,3584.83,3242.33,328,2190.1,2874.94,14,AAA
2020,6,DINERS CLUB,2321.63,1866.42,440,1901.21,1269.44,15,AAA
2020,6,AUSTRO,1786.6,1590.19,191,1057.86,1521.14,5,AAA
2020,6,GENERAL RUMIÑAHUI,915.12,834.92,76,621.77,715.2,4,AAA
2020,6,SOLIDARIO,788.9,634.78,150,626.34,393.36,4,AA
2020,6,MACHALA,787.92,725.09,62,509.63,699.16,1,AA
2020,6,CITIBANK,624.3,546.3,73,252.17,509.03,5,AAA
2020,6,LOJA,499.97,438.31,60,319.11,413.42,2,AAA
2020,6,PROCREDIT,425.02,367.5,57,354.29,168.14,0,AAA
2020,6,AMAZONAS,223.02,197.28,26,115.3,183.64,0,AA
2020,6,COOPNACIONAL,183.83,153.54,30,98.89,149.84,1,AA
2020,6,CODESARROLLO,179.43,156.54,22,147.79,125.11,1,C
2020,6,D-MIRO,105.6,82.85,22,83.69,27.99,0,A
2020,6,FINCA,82.93,68.34,15,64.37,51.05,0,BBB
2020,6,VISIONFUND,80.76,64.1,16,70.67,7.66,1,AA
2020,6,COMERCIAL DE MANABI,51.19,38.58,13,31.88,37.57,0,BB
2020,6,LITORAL,38.41,27.23,12,30.01,25.84,0,A
2020,6,DELBANK,30.66,19.67,11,21.11,17.12,0,A
2020,6,CAPITAL,23.6,15.56,9,12.4,13.9,-1,C
2020,7,PICHINCHA,11577.33,10296.03,1246,7039.61,9200.91,35,AAA
2020,7,PACIFICO,6224.95,5436.58,770,4270.6,4423.75,18,AAA
2020,7,GUAYAQUIL,5184.36,4669.92,502,3280.76,3899.09,12,AAA
2020,7,PRODUBANCO,5034.14,4593.85,425,3200.76,3980.88,15,AAA
2020,7,INTERNACIONAL,3710.41,3332.94,358,2371.03,3035.54,20,AAA
2020,7,BOLIVARIANO,3618.07,3273.14,328,2214.45,2917.96,17,AAA
2020,7,DINERS CLUB,2244.16,1788.12,440,1894.18,1253,16,AAA
2020,7,AUSTRO,1805.55,1607.99,191,1057.96,1537.54,6,AAA
2020,7,GENERAL RUMIÑAHUI,948.85,867.91,76,621.83,751.01,5,AAA
2020,7,MACHALA,785.65,722.75,62,507.23,698.4,1,AA
2020,7,SOLIDARIO,784.16,629.61,150,613.27,390.77,5,AA
2020,7,CITIBANK,600.96,521.37,74,241.98,490.56,5,AAA
2020,7,LOJA,506.3,444.64,60,317.86,419.85,2,AAA
2020,7,PROCREDIT,439.28,382.64,57,357,178.55,-1,AAA
2020,7,AMAZONAS,228.35,202.66,26,111.44,188.61,0,AA
2020,7,COOPNACIONAL,183.46,153.08,30,98.46,149.37,1,AA
2020,7,CODESARROLLO,182.42,159.3,22,148.82,125.77,1,C
2020,7,D-MIRO,107.62,84.86,22,82.85,29.58,0,A
2020,7,FINCA,84.33,69.85,15,61.82,52.95,0,BBB
